1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Aquatic,Salt Water,Common,Small Patch (1-12),Small (5-25cm),Multiple Stems / Trunks,Radial,Rhizoid,Waxy,Violet,N/A,Rough,Green,N/A,Flaky,Green & Green,Stripes,Broad,Branch Points,Palmate (Hand-Like),Serate,Smooth,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Green,N/A,Seeds,Grain,Wind,Compound,Cone,Avg. (1-5cm),Blade,Scaly,Random Interval,None,Annual (Once),Other,Orange & Green,Blushed,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Other,Antibiotic,Edible,Raw,N/A,
Woody,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Large (1-10m),Stem / Trunk,Radial,Fibrous,Flaky,Black,N/A,Scaly,Green,N/A,Rough,Green,N/A,Broad,Regular Interval,Linear (Parallel Margins & Elongate),Serate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Clusters (6+),Rough,Copper,N/A,Seeds,Nut,Gravity,Single,Bell,Small (5-10mm),Toothed,Velvety,Random Interval,Sweet,Other,Flaky,Yellow,Night Blooming,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Ground,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,
Fungus,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,None,Rhizoid,Other,Black,N/A,Rough,Red,N/A,Smooth,Green,N/A,Needles,Terminal,Orbicular (Circular),Denticulate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+) & Clusters (6+),Smooth,Green,N/A,Seeds,Nut,Gravity,Single,Disc,Small (5-10mm),Oval,Waxy,Stem / Trunk,Foul,Poly-Annual (2-7 Years),Rough,Grey,Iridescent,1-3,0,Decay,Touch,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Sedative,Medicinal / Other,Decoction,Oil,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Tap,Smooth,Black,N/A,Other,Gold,N/A,Rough,Grey,N/A,Broad,Stem / Trunk,Spear-Shaped (Pointed Barbbed-Base),Sinuate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Waxy,Green,N/A,Seeds,Fruit,Water,Pairs,Complex,Tiny (<5mm),Blade,Hairy,Terminal,Other / Specific,Poly-Annual (2-7 Years),Smooth,Green,Mimicry,1-3,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ointment,Digestive,Medicinal / Other,Juice,Irritant,Medicinal / Other,Ground,Emmenagogue,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Vasodialator,Medicinal / Other,Cold Extract,Hypnotic,
Woody,Terrestrial,Plains / Savannah,Common,Solitary (1-2),Small (5-25cm),Stem / Trunk,Ordered,Tap,Scaly,Violet,N/A,Smooth,Yellow,N/A,Rough,Green,N/A,Broad,Regular Interval,Poly-Foliate (2-7 Leaflets),Smooth & Serrulate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Rough,Orange,N/A,Seeds,Nut,Gravity,Pairs,Bell,Avg. (1-5cm),Oval,Scaly,Random Interval,Sweet,Other,Flaky,Gold,Translucent,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Narcotic,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Plains / Savannah,Very Rare,Small Patch (1-12),Large (1-10m),Multiple Stems / Trunks,Radial,Fibrous,Rough,Black,N/A,Scaly,Grey,N/A,Rough,Green,N/A,Compound,Regular Interval,Hastatae (Triangular Basal Lobes),Undulate,Sticky,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Pairs (2),Flaky,Green,N/A,Seeds,Nut,Water,Compound,Cone,Large (5-10cm),Wavy,Waxy,Branch Points,Sweet,Other,Smooth,Violet,Phases,10+,5+,Parasitic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Juice,Re-Roll,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Sub-Terrestrial,Desert / Waste,Rare,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Ordered,Advantageous,Flaky,Green,N/A,Smooth,Brown,N/A,Rough,Brown,N/A,Compound,Random Interval,Hastatae (Triangular Basal Lobes),Denticulate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Rough,Silver,N/A,Seeds,Nut,Animal,Pairs,Sphere,Tiny (<5mm),Oval,Smooth,Terminal,Sweet,Perennial (Yearly),Rough,Violet,Luminescent & Blushed,10+,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Wax,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Large (1-10m),Multiple Stems / Trunks,Radial,Fibrous,Scaly,Violet,N/A,Rough,Blue,N/A,Rough,White,N/A,Broad,Random Interval,Obtuse (Bluntly Tipped),Undulate & Lobate,Scaly,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+) & Whorls (3-5),Waxy,Brown,N/A,Seeds,Spore,Water,Spray,Disc,Tiny (<5mm),Thread,Waxy,Regular Interval,Sweet,Perennial (Yearly),Rough,Copper,Patches,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Ground,Appetizer,Edible,Boiled,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Blanched,N/A,Medicinal / Other,Grated,Antiphlogistic,
Herbaceous,Aquatic,Salt Water,Very Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Tap,Smooth,Brown,N/A,Waxy,Brown,N/A,Smooth,Green,N/A,Broad,Terminal,Truncate (Squared off Apex),Sinuate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,White,N/A,Seeds,Grain,Wind,Compound,Bell,Avg. (1-5cm),Oval & Wavy,Smooth,Stem / Trunk & Terminal,None,Poly-Annual (2-7 Years),Smooth,Green,Blushed,4-9,2-4,Decay,Light,Non-Sentient,N/A,Edible,Raw,N/A,Medicinal / Other,Powder,Antiscorbutic,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Tincture,Counterirritant,Edible,Steeped,N/A,
Herbaceous,Aquatic,Salt Water,Rare,Medium Patch (12-120),Tiny (<5cm),Creeper Vine,Random,Rhizoid,Smooth,Green,N/A,Smooth,Yellow,N/A,Scaly,Green,N/A,Broad,Regular Interval,Lanceolate (Pointed at Both Ends),Serate,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Gold,N/A,Seeds,Fruit,Water,Single,Funnel,Avg. (1-5cm),Oval,Veined,Branch Points,None,Annual (Once),Smooth,Black & Orange,Night Closing,0,2-4,Symbiotic,Light,Non-Sentient,N/A,Edible,Roasted,N/A,Medicinal / Other,Whole,Emetic,Medicinal / Other,Cold Extract,Pectoral,N/A,N/A,N/A,Medicinal / Other,Juice,Antitussive,Medicinal / Other,Fomentation,Alterative,
